File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientPreemptiveBasicAuthentication.java,94,47,39,1,9,0,38,228,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientPreemptiveDigestAuthentication.java,100,50,41,1,9,0,41,247,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientProxyAuthentication.java,82,45,34,0,7,0,30,191,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientWithRequestFuture.java,121,75,56,1,11,0,35,228,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ClientWithResponseHandler.java,80,37,30,2,12,0,31,198,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\ProxyTunnelDemo.java,74,36,31,1,9,0,29,186,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\examples\org\apache\http\examples\client\QuickStart.java,89,44,39,0,8,0,37,263,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AUTH.java,62,9,7,0,9,0,44,216,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthenticationException.java,69,14,10,0,8,0,47,260,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthOption.java,65,26,19,3,10,0,29,172,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthProtocolState.java,34,4,2,0,4,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthScheme.java,131,14,11,0,12,0,105,600,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthSchemeFactory.java,52,6,4,0,6,0,40,210,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthSchemeProvider.java,47,5,4,0,6,0,36,193,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthSchemeRegistry.java,159,65,46,6,16,0,78,438,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthScope.java,330,158,112,34,29,0,143,739,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\AuthState.java,243,95,66,12,28,0,120,500,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\BasicUserPrincipal.java,92,48,34,9,13,0,31,181,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\ChallengeState.java,39,4,2,0,4,0,31,179,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\ContextAwareAuthScheme.java,63,10,6,0,6,0,47,268,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\Credentials.java,45,6,5,0,6,0,33,200,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\InvalidCredentialsException.java,67,13,9,0,6,0,48,266,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\KerberosCredentials.java,73,25,17,3,11,0,37,197,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\MalformedChallengeException.java,69,14,10,0,7,0,48,270,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\NTCredentials.java,183,103,70,17,19,0,61,359,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\NTUserPrincipal.java,116,71,50,14,14,0,31,180,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\package-info.java,32,1,1,0,2,0,29,174,29,174
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\UsernamePasswordCredentials.java,126,64,44,12,17,0,45,247,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\params\AuthPNames.java,75,7,5,0,7,0,61,333,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\auth\params\package-info.java,33,1,1,0,2,0,30,174,30,174
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\AuthCache.java,50,9,8,0,8,0,33,196,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\AuthenticationStrategy.java,131,33,16,0,11,0,87,488,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\BackoffManager.java,55,6,5,0,5,0,44,248,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\CircularRedirectException.java,66,13,9,0,6,0,47,259,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\ClientProtocolException.java,59,18,13,0,10,0,31,181,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\ConnectionBackoffStrategy.java,65,6,5,0,5,0,54,338,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\CookieStore.java,72,10,9,0,9,0,53,279,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\CredentialsProvider.java,72,8,7,0,7,0,57,302,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\HttpClient.java,263,45,20,0,17,0,201,1348,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\HttpRequestRetryHandler.java,61,6,5,0,7,0,48,284,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\HttpResponseException.java,50,12,9,1,7,0,31,180,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\NonRepeatableRequestException.java,71,14,10,0,10,0,47,245,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\package-info.java,32,1,1,0,2,0,29,174,29,174
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\RedirectException.java,68,14,10,0,7,0,47,265,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\RedirectStrategy.java,82,16,9,0,7,0,59,359,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\ResponseHandler.java,55,6,5,0,6,0,43,246,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\ServiceUnavailableRetryStrategy.java,61,7,6,0,7,0,47,283,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\UserTokenHandler.java,60,5,4,0,6,0,49,324,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\config\AuthSchemes.java,77,11,9,0,11,0,55,293,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\config\CookieSpecs.java,87,14,10,0,12,0,61,292,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\config\package-info.java,32,1,1,0,2,0,29,173,29,173
