Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http,70,10493,5636,3849,953,1141,2,3716,22509,1845,11857
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http\client,13,1104,307,224,34,111,0,686,3931,338,2171
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http\client\cache,13,1104,307,224,34,111,0,686,3931,338,2171
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http\impl,57,9389,5329,3625,919,1030,2,3030,18578,1507,9686
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http\impl\client,57,9389,5329,3625,919,1030,2,3030,18578,1507,9686
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http\impl\client\cache,57,9389,5329,3625,919,1030,2,3030,18578,1507,9686
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http\impl\client\cache\ehcache,1,162,76,59,6,17,0,69,460,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\main\java\org\apache\http\impl\client\cache\memcached,11,924,311,230,31,85,1,528,3366,311,2004
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test,49,20719,14756,10449,450,3336,18,2627,16806,1274,8183
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java,49,20719,14756,10449,450,3336,18,2627,16806,1274,8183
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org,49,20719,14756,10449,450,3336,18,2627,16806,1274,8183
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache,49,20719,14756,10449,450,3336,18,2627,16806,1274,8183
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http,49,20719,14756,10449,450,3336,18,2627,16806,1274,8183
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http\client,1,354,290,196,2,37,0,27,176,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http\client\cache,1,354,290,196,2,37,0,27,176,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http\impl,48,20365,14466,10253,448,3299,18,2600,16630,1248,8016
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http\impl\client,48,20365,14466,10253,448,3299,18,2600,16630,1248,8016
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http\impl\client\cache,48,20365,14466,10253,448,3299,18,2600,16630,1248,8016
