Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\impl\execchain,15,2508,1648,1160,188,274,1,586,3667,393,2513
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test,119,28197,19882,14590,274,4142,115,4173,24957,3094,19873
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java,119,28197,19882,14590,274,4142,115,4173,24957,3094,19873
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org,119,28197,19882,14590,274,4142,115,4173,24957,3094,19873
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache,119,28197,19882,14590,274,4142,115,4173,24957,3094,19873
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http,119,28197,19882,14590,274,4142,115,4173,24957,3094,19873
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\auth,2,417,323,230,0,39,0,55,341,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\client,22,3958,2768,2172,10,593,7,597,3815,572,3674
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\client\config,1,103,68,45,0,9,0,26,167,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\client\entity,4,402,245,194,2,52,0,105,671,104,668
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\client\methods,3,425,295,217,0,52,0,78,501,78,501
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\client\protocol,8,1568,1105,953,1,251,0,212,1355,208,1336
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\client\utils,6,1460,1055,763,7,229,7,176,1121,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\conn,12,4050,2873,1882,18,589,61,588,3410,312,2004
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\conn\routing,3,1821,1285,954,12,310,7,226,1366,78,501
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\conn\ssl,4,1589,1192,617,6,174,40,223,1131,104,668
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\conn\util,3,281,165,133,0,33,13,83,560,78,501
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\cookie,3,305,178,133,0,40,0,87,525,78,501
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\impl,73,18781,13425,9956,215,2779,40,2577,15244,1898,12191
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\impl\auth,5,1844,1413,992,20,273,3,158,955,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\impl\client,39,8661,5924,4383,150,1415,14,1322,8201,1014,6513
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\impl\client\integration,18,5611,3861,2813,127,1010,6,740,4579,468,3006
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\impl\conn,8,1657,1137,853,2,293,5,227,1391,208,1336
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\impl\cookie,13,4169,3020,2436,40,493,10,656,3305,338,2171
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\impl\execchain,8,2450,1931,1292,3,305,8,214,1392,208,1336
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\test\java\org\apache\http\localserver,7,686,315,217,31,102,7,269,1622,182,1169
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime,30,3704,2063,1315,175,459,9,1182,6882,786,5025
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src,30,3704,2063,1315,175,459,9,1182,6882,786,5025
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\examples,1,87,47,37,2,11,0,29,178,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\examples\org,1,87,47,37,2,11,0,29,178,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\examples\org\apache,1,87,47,37,2,11,0,29,178,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\examples\org\apache\http,1,87,47,37,2,11,0,29,178,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\examples\org\apache\http\examples,1,87,47,37,2,11,0,29,178,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\examples\org\apache\http\examples\entity,1,87,47,37,2,11,0,29,178,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\examples\org\apache\http\examples\entity\mime,1,87,47,37,2,11,0,29,178,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main,23,2590,1268,874,167,325,7,997,5696,604,3856
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java,21,2264,1091,765,144,283,6,890,5001,552,3522
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java-deprecated,2,326,177,109,23,42,1,107,695,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java-deprecated\org,2,326,177,109,23,42,1,107,695,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java-deprecated\org\apache,2,326,177,109,23,42,1,107,695,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java-deprecated\org\apache\http,2,326,177,109,23,42,1,107,695,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java-deprecated\org\apache\http\entity,2,326,177,109,23,42,1,107,695,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java-deprecated\org\apache\http\entity\mime,2,326,177,109,23,42,1,107,695,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java\org,21,2264,1091,765,144,283,6,890,5001,552,3522
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java\org\apache,21,2264,1091,765,144,283,6,890,5001,552,3522
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java\org\apache\http,21,2264,1091,765,144,283,6,890,5001,552,3522
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java\org\apache\http\entity,21,2264,1091,765,144,283,6,890,5001,552,3522
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java\org\apache\http\entity\mime,21,2264,1091,765,144,283,6,890,5001,552,3522
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\main\java\org\apache\http\entity\mime\content,8,844,325,215,32,102,0,417,2185,211,1343
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\test,6,1027,748,404,6,123,2,156,1008,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\test\java,6,1027,748,404,6,123,2,156,1008,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\test\java\org,6,1027,748,404,6,123,2,156,1008,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\test\java\org\apache,6,1027,748,404,6,123,2,156,1008,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\test\java\org\apache\http,6,1027,748,404,6,123,2,156,1008,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\test\java\org\apache\http\entity,6,1027,748,404,6,123,2,156,1008,156,1002
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpmime\src\test\java\org\apache\http\entity\mime,6,1027,748,404,6,123,2,156,1008,156,1002
