Class Name, Line of Code, Line of Comments, RFC, Cohesion, Coupling, Cyclomatic Complexity, Weighted Methods, Depth of Class, Number of children
CloneInstanceMapper.java, 834, 32, 79, 8, 8, [getSubTreeMappers->1 #getCDTNodesInBreadthFirstOrder->3 #generateControlDependenceSubTree->3 #generateControlDependenceSubTreeWithTheFirstNodeAsRoot->3 #addNodeInOrder->3 #insertCDTNodeInTree->6 #insertCDTNodeInTreeAfterSibling->6 #getSubTreeCDTNode->11 #allNodesNestedUnderElse->3 #isNestedUnderElse->6 #getControlParent->7 #getParent->4 #allStatementsAreInAnonymousClassDeclarationOrCatchClauseOrFinallyBlock->3 #isNestedUnderAnonymousClassDeclarationOrCatchClauseOrFinallyBlock->3 #isFinallyBlockOfTryStatement->3 #getSubTreeCDTNodes->13 #isInside->9 #hasOnlyKeyWord->3 #getPDG->2 #getIMethod->5 #recursiveGetIMethod->4 #getIMethodWithSignature->17 #], 118, 0, 0
CloneStructureNode.java, 571, 5, 60, 1, 1, [setParent->1 #isElseIf->6 #findNodeG1->4 #findNodeG2->4 #isGapNodeG1InAdditionalMatches->4 #isGapNodeG2InAdditionalMatches->4 #addGapChild->16 #processFalseControlDependentGap->16 #addChild->5 #containsChildSymmetricalToNode->7 #containsControlChildOfNode->9 #containsControlParentOfNode->15 #containsMappedReturnStatementInDirectChildren->7 #containsMappedThrowStatementInDirectChildren->7 #hasElseDescendant->3 #lastIfElseIfChainContainsReturnOrThrowStatements->14 #getParent->1 #getMapping->1 #getDescendants->2 #getDescendantNodesG1->5 #getDescendantNodesG2->5 #getChildren->1 #isRoot->1 #toString->2 #equals->5 #compareTo->1 #], 146, 0, 0
CodeFragmentDecomposer.java, 112, 0, 20, 5, 0, [getObjectNodeMap->1 #getNodesDefiningAttributesOfReference->6 #getNodeDeclaringReference->3 #getDeclaredVariables->4 #getDefinedFieldMap->6 #], 20, 0, 0
CompleteSubTreeMatch.java, 84, 1, 18, 1, 0, [getMatchPairs->1 #getAdditionalFragments1->2 #getAdditionalFragments2->2 #isAdvancedMatch->1 #getControlDependenceTreeNodes1->2 #getControlDependenceTreeNodes2->2 #addStartPoint->1 #subsumes->4 #toString->1 #], 16, 0, 0
ControlDependenceTreeGenerator.java, 239, 11, 30, 1, 2, [getRoot->1 #processControlDependences->25 #checkIfTryNodeIsNestedUnderOtherTryNodeOrElse->7 #searchForNode->1 #searchForElseNode->1 #numberOfOutgoingFalseControlDependences->4 #isExpressionStatementWithConditionalExpression->9 #], 48, 0, 0
ControlDependenceTreeNode.java, 439, 3, 65, 4, 0, [parentChildRelationship->4 #ifElseRelationship->3 #getNode->5 #getNode->5 #getElseNode->5 #getControlPredicateNodesInLevel->4 #getElseNodesInLevel->3 #getMaxLevel->3 #getRoot->2 #isLeaf->1 #getLeaves->3 #ifStatementInsideElseIfChain->1 #getNumberOfIfParents->2 #getNumberOfElseIfChildren->2 #getLengthOfElseIfChain->1 #getIfParents->2 #getElseIfChildren->2 #isElseNode->1 #setElseNode->1 #isTernary->1 #setTernary->1 #getSiblings->4 #getPreviousSibling->3 #areAllSiblingsLeaves->5 #getControlDependenceTreeNodesInLevel->3 #shallowCopy->1 #getParent->1 #getNode->1 #getLevel->1 #getChildren->1 #getDescendants->2 #getNodeCount->3 #getNodesInBreadthFirstOrder->2 #getIfParent->1 #setIfParent->1 #getElseIfChild->1 #setElseIfChild->1 #setIfParentAndElseIfChild->1 #hashCode->3 #equals->5 #toString->2 #getId->7 #getElseChild->3 #], 104, 0, 0
ControlDependenceTreeNodeMatchPair.java, 148, 0, 28, 3, 0, [getNode1->1 #getNode2->1 #getNodeDifferences->1 #getAdditionalFragments1->1 #getAdditionalFragments2->1 #ifStatementInsideElseIfChain->1 #isElseIfChainSibling->1 #getDistinctDifferenceCount->5 #getDistinctDifferenceCountIncludingTypeMismatches->4 #getNonDistinctDifferenceCount->4 #getNonDistinctDifferenceCountIncludingTypeMismatches->3 #hashCode->2 #equals->3 #toString->1 #compareTo->3 #], 32, 0, 0
ControlDependenceTreeNodeMatchPairComparator.java, 33, 0, 6, 1, 0, [compare->4 #], 4, 0, 0
DivideAndConquerMatcher.java, 1657, 25, 222, 2, 10, [hasMappedNodes->1 #getPDG1->1 #getPDG2->1 #getMethodName1->1 #getMethodName2->1 #getRemovableNodesG1->1 #getRemovableNodesG2->1 #getRemainingNodesG1->1 #getRemainingNodesG2->1 #getNonMappedPDGNodesG1MovableBefore->1 #getNonMappedPDGNodesG1MovableAfter->1 #getNonMappedPDGNodesG2MovableBefore->1 #getNonMappedPDGNodesG2MovableAfter->1 #getAdditionallyMatchedNodesG1->1 #getAdditionallyMatchedNodesG2->1 #getDirectlyAccessedLocalFieldsG1->1 #getDirectlyAccessedLocalFieldsG2->1 #getIndirectlyAccessedLocalFieldsG1->1 #getIndirectlyAccessedLocalFieldsG2->1 #getDirectlyModifiedLocalFieldsG1->1 #getDirectlyModifiedLocalFieldsG2->1 #getIndirectlyModifiedLocalFieldsG1->1 #getIndirectlyModifiedLocalFieldsG2->1 #getAccessedLocalMethodsG1->1 #getAccessedLocalMethodsG2->1 #getDirectlyAccessedLocalMethodsG1->1 #getDirectlyAccessedLocalMethodsG2->1 #getIndirectlyAccessedLocalMethodsG1->1 #getIndirectlyAccessedLocalMethodsG2->1 #getDeclaredLocalVariablesInMappedNodes->1 #getDeclaredLocalVariablesInMappedNodesWithinAnonymousClass->1 #getDeclaredLocalVariablesInAdditionallyMatchedNodesG1->1 #getDeclaredLocalVariableBindingKeysInAdditionallyMatchedNodesG1->1 #getDeclaredLocalVariablesInAdditionallyMatchedNodesG2->1 #getDeclaredLocalVariableBindingKeysInAdditionallyMatchedNodesG2->1 #getCommonPassedParameters->1 #getNodeDifferences->1 #getNonOverlappingNodeDifferences->1 #getPreconditionViolations->1 #getRenamedVariables->1 #getRenamedVariableBindings->1 #getVariablesToBeReturnedG1->1 #getVariablesToBeReturnedG2->1 #getDeclaredVariablesInRemainingNodesDefinedByMappedNodesG1->1 #getDeclaredVariablesInRemainingNodesDefinedByMappedNodesG2->1 #movableBeforeFirstMappedNode->1 #getReturnTypeBinding->1 #getCloneType->1 #getCloneRefactoringType->1 #isTemplateMethodApplicable->1 #getNodesInRegion1->1 #getNodesInRegion2->1 #getElseNodesOfSymmetricalIfStatement1->1 #getElseNodesOfSymmetricalIfStatement2->1 #getIfParentChildren1->1 #getIfParentChildren2->1 #getCloneStructureRoot->1 #getMaximumStateWithMinimumDifferences->1 #getAllNodesInSubTreePDG1->1 #getAllNodesInSubTreePDG2->1 #findMaximumStateWithMinimumDifferences->26 #matchBasedOnControlDependenceTreeStructure->131 #findNodesNestedUnderIfAndElse->5 #symmetricalIfNodes->2 #matchBasedOnIfElseSymmetry->11 #matchBasedOnCodeFragments->47 #getIncomingDependenciesFromVariables->8 #matchBasedOnIdenticalStatements->13 #matchBasedOnSwitchCases->19 #sameBasicBlock->9 #symmetricalIfNodes->4 #getPreviousControlMappingG1->4 #getPreviousControlMappingG2->4 #getNextControlMappingG1->4 #getNextControlMappingG2->4 #processPDGNodes->6 #processPDGNodesWithFirstCloneAsReference->12 #processPDGNodesWithSecondCloneAsReference->12 #processIdenticalPDGNodes->17 #getMaximumStates->8 #clear->3 #], 409, 0, 2
ExtractStatementsVisitor.java, 215, 1, 8, 1, 0, [getStatementsList->1 #getControlStatementsList->1 #visit->3 #isStartNodeNestedUnderAnonymousClassDeclaration->3 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->3 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #], 33, 1, 0
IdBasedGap.java, 50, 1, 5, 2, 0, [getId1->1 #getId2->1 #isAdvancedMatch->1 #compareTo->7 #], 10, 1, 2
IdBasedMapping.java, 23, 0, 4, 2, 0, [getId1->1 #getId2->1 #compareTo->1 #], 3, 1, 2
IdenticalStatementDecomposer.java, 40, 0, 1, 1, 0, [getIdenticalNodeMap->1 #], 1, 0, 0
MappingState.java, 676, 7, 113, 3, 3, [setRestrictedNodesG1->1 #setRestrictedNodesG2->1 #addChild->1 #getMappedNodesG1->2 #getMappedNodesG2->2 #getNodeDifferences->2 #getSortedNodeDifferences->2 #getNonOverlappingNodeDifferences->2 #getDistinctDifferenceCount->6 #getDistinctDifferenceCountIncludingTypeMismatches->5 #getNonDistinctDifferenceCount->5 #getNonDistinctDifferenceCountIncludingTypeMismatches->4 #getNodeMappingRelativeIdDiff->2 #getEditDistanceOfDifferences->5 #getMaximumCommonSubGraphs->5 #clear->3 #containsSameState->3 #getLeaves->3 #getNodeMappingSize->7 #getSize->1 #traverse->18 #nodesDeclareVariableUsedInMappedNodes->7 #edgeMappingWithAlreadyVisitedNodes->3 #pruneBranch->3 #symmetricalIfNodes->2 #mappedControlParents->7 #incomingDataDependenciesFromUnvisitedNodes->9 #nodeIsUnmappedTemporaryVariableDeclaration->7 #incomingDataDependenciesFromNonMatchingNodes->17 #findNodeDeclaringVariable->3 #findMappingWithBothNodes->3 #findMappingWithNodeG1->3 #findMappingWithNodeG2->3 #containsBothNodesInMappings->3 #containsNodeG1InMappings->3 #containsNodeG2InMappings->3 #getChildStateWithNodeMapping->3 #containsAtLeastOneNodeInMappings->3 #containsNodeInMappings->3 #getNodeMappings->1 #getSortedNodeMappings->1 #sameNodeMappings->1 #equals->3 #toString->2 #], 173, 0, 0
NodeMapping.java, 155, 0, 31, 4, 0, [getPreconditionViolations->1 #addPreconditionViolation->1 #getNodeG1->1 #getNodeG2->1 #getNodeDifferences->1 #isAdvancedMatch->1 #getNonOverlappingNodeDifferences->5 #isDifferenceInConditionalExpressionOfAdvancedLoopMatch->8 #isExpressionWithinExpression->3 #equals->6 #compareTo->13 #], 41, 0, 2
PDGEdgeMapping.java, 92, 0, 25, 1, 1, [getEdgeG1->1 #getEdgeG2->1 #isCompatible->7 #equalData->2 #equals->3 #hashCode->2 #toString->1 #], 17, 0, 0
PDGElseGap.java, 66, 0, 9, 5, 0, [getNodeG1->1 #getNodeG2->1 #getNodeDifferences->1 #equals->5 #hashCode->2 #toString->3 #], 13, 2, 0
PDGElseMapping.java, 70, 0, 12, 7, 0, [getNodeG1->1 #getNodeG2->1 #getNodeDifferences->1 #isAdvancedMatch->1 #getSymmetricalIfNodePair->1 #setSymmetricalIfNodePair->1 #equals->3 #hashCode->2 #toString->1 #], 12, 2, 0
PDGMapper.java, 178, 2, 18, 5, 4, [addNodeInOrder->3 #generateControlDependenceSubTree->3 #insertCDTNodeInTree->6 #insertCDTNodeInTreeAfterSibling->6 #getBottomUpSubTreeMatches->1 #getSubTreeMappers->1 #], 20, 0, 0
PDGNodeGap.java, 136, 24, 17, 2, 0, [getNodeG1->1 #getNodeG2->1 #getNodeDifferences->1 #isFalseControlDependent->7 #isNestedUnderElse->6 #equals->5 #hashCode->4 #toString->3 #], 28, 2, 0
PDGNodeMapping.java, 300, 0, 55, 3, 2, [getNodeG1->1 #getNodeG2->1 #getNodeDifferences->1 #isAdvancedMatch->1 #getAdditionallyMatchedFragments1->1 #getAdditionallyMatchedFragments2->1 #containsAdditionallyMatchedFragment1->4 #containsAdditionallyMatchedFragment2->4 #getTypeRoot1->1 #getTypeRoot2->1 #getSymmetricalIfNodePair->1 #setSymmetricalIfNodePair->1 #isSymmetricalIfElse->1 #setSymmetricalIfElse->1 #isFalseControlDependent->3 #isNode1FalseControlDependent->3 #isNode2FalseControlDependent->3 #isNestedUnderElse->6 #matchingVariableDifference->8 #isVoidMethodCallDifferenceCoveringEntireStatement->8 #declaresInconsistentlyRenamedVariable->3 #declaresVariableWithVariableNameMismatch->6 #equals->3 #hashCode->2 #toString->2 #], 67, 2, 0
PDGRegionSubTreeMapper.java, 146, 1, 31, 1, 1, [getNodesInRegion1->1 #getNodesInRegion2->1 #getElseNodesOfSymmetricalIfStatement1->1 #getElseNodesOfSymmetricalIfStatement2->1 #getIfParentChildren1->1 #getIfParentChildren2->1 #getNodesInRegion->10 #getElseNodesOfSymmetricalIfStatement->6 #getIfParentChildren->3 #cloneFragmentContainsPDGNode->2 #], 27, 1, 0
PDGSubTreeMapper.java, 126, 1, 24, 3, 1, [getNodesInRegion1->1 #getNodesInRegion2->1 #getElseNodesOfSymmetricalIfStatement1->1 #getElseNodesOfSymmetricalIfStatement2->1 #getIfParentChildren1->1 #getIfParentChildren2->1 #getNodesInRegion->10 #getElseNodesOfSymmetricalIfStatement->6 #getIfParentChildren->3 #], 25, 1, 0
BoldStyler.java, 16, 0, 1, 1, 0, [applyStyles->1 #], 1, 1, 0
DualExpressionPreconditionViolation.java, 93, 0, 13, 1, 2, [getExpression1->1 #getExpression2->1 #getViolation->3 #getStyledViolation->3 #], 8, 1, 1
DualExpressionWithCommonSuperTypePreconditionViolation.java, 106, 0, 7, 1, 2, [getViolation->3 #getStyledViolation->7 #], 10, 2, 0
ExpressionPreconditionViolation.java, 44, 0, 6, 1, 2, [getExpression->1 #getViolation->1 #getStyledViolation->1 #], 3, 1, 0
NormalStyler.java, 18, 0, 1, 1, 0, [applyStyles->1 #], 1, 1, 0
NotAllPossibleExecutionFlowsEndInReturnPreconditionViolation.java, 26, 0, 4, 2, 1, [getViolation->1 #getStyledViolation->1 #], 2, 1, 0
PreconditionViolation.java, 35, 0, 6, 4, 1, [getViolation->1 #getStyledViolation->1 #getSuggestions->1 #addSuggestion->1 #toString->1 #getType->1 #], 6, 0, 7
ReturnedVariablePreconditionViolation.java, 84, 0, 10, 1, 2, [getViolation->5 #getStyledViolation->9 #], 14, 1, 0
StatementPreconditionViolation.java, 145, 0, 8, 1, 2, [getStatement->1 #getViolation->9 #getStyledViolation->9 #], 19, 1, 0
Suggestion.java, 22, 0, 3, 2, 0, [getPreconditionViolation->1 #getSuggestion->1 #setSuggestion->1 #], 3, 0, 0
UncommonSuperclassPreconditionViolation.java, 38, 0, 4, 1, 2, [getViolation->1 #getStyledViolation->1 #], 2, 1, 0
ZeroMatchedStatementsPreconditionViolation.java, 26, 0, 4, 2, 1, [getViolation->1 #getStyledViolation->1 #], 2, 1, 0
PreconditionExaminer.java, 4081, 60, 366, 11, 18, [getCloneStructureRoot->1 #getMaximumStateWithMinimumDifferences->1 #getAllNodesInSubTreePDG1->1 #getAllNodesInSubTreePDG2->1 #findNonMappedNodes->6 #findDeclaredVariablesInRemainingNodesDefinedByMappedNodes->10 #findDeclaredVariablesInMappedNodesUsedByNonMappedNodes->14 #findPassedParameters->25 #commonPassedParametersAlreadyContainOneOfTheKeys->3 #sortVariables->12 #appearsInMultipleDifferences->3 #appearsOnlyInDifferences1->7 #appearsOnlyInDifferences2->7 #appearsOnlyAsPartOfDifferences1->7 #appearsOnlyAsPartOfDifferences2->7 #isInsideDifference->2 #findRenamedVariableName1->3 #findRenamedVariableName2->3 #extractPassedParameters->6 #getVariableBinding->3 #findLocallyAccessedFields->59 #getAllSuperTypesUpToCommonSuperclass->4 #getAdditionalLocallyAccessedFieldsAndMethods->10 #getPDG1->1 #getPDG2->1 #getMethodName1->1 #getMethodName2->1 #getRemovableNodesG1->1 #getRemovableNodesG2->1 #getRemainingNodesG1->1 #getRemainingNodesG2->1 #getNonMappedPDGNodesG1MovableBefore->1 #getNonMappedPDGNodesG1MovableAfter->1 #getNonMappedPDGNodesG2MovableBefore->1 #getNonMappedPDGNodesG2MovableAfter->1 #getAdditionallyMatchedNodesG1->1 #getAdditionallyMatchedNodesG2->1 #getVariablesToBeReturnedG1->4 #getVariablesToBeReturnedG2->4 #getDeclaredVariablesInRemainingNodesDefinedByMappedNodesG1->4 #getDeclaredVariablesInRemainingNodesDefinedByMappedNodesG2->4 #getDirectlyAccessedLocalFieldsG1->1 #getDirectlyAccessedLocalFieldsG2->1 #getIndirectlyAccessedLocalFieldsG1->1 #getIndirectlyAccessedLocalFieldsG2->1 #getDirectlyModifiedLocalFieldsG1->1 #getDirectlyModifiedLocalFieldsG2->1 #getIndirectlyModifiedLocalFieldsG1->1 #getIndirectlyModifiedLocalFieldsG2->1 #getAccessedLocalMethodsG1->1 #getAccessedLocalMethodsG2->1 #getDirectlyAccessedLocalMethodsG1->1 #getDirectlyAccessedLocalMethodsG2->1 #getIndirectlyAccessedLocalMethodsG1->1 #getIndirectlyAccessedLocalMethodsG2->1 #getDeclaredLocalVariablesInMappedNodes->6 #getDeclaredLocalVariablesInMappedNodesWithinAnonymousClass->1 #getDeclaredLocalVariablesInAdditionallyMatchedNodesG1->4 #getDeclaredLocalVariableBindingKeysInAdditionallyMatchedNodesG1->2 #getDeclaredLocalVariablesInAdditionallyMatchedNodesG2->4 #getDeclaredLocalVariableBindingKeysInAdditionallyMatchedNodesG2->2 #getCommonPassedParameters->7 #getNodeDifferences->1 #getSortedNodeDifferences->1 #getNonOverlappingNodeDifferences->1 #findRenamedVariables->28 #alreadyContainsOneOfTheKeys->3 #getAdditionallyMatchedFragmentsNotBeingUnderMappedStatement->9 #getVariables->13 #getBindingSignaturePairForVariable1->3 #getBindingSignaturePairForVariable2->3 #getPreconditionViolations->1 #getRenamedVariables->1 #getRenamedVariableBindings->7 #variablesToBeReturned->17 #isAssignmentToArrayAccess->11 #mappedNodeDeclaresVariable->3 #checkPreconditionsAboutReturnedVariables->6 #checkIfAllPossibleExecutionFlowsEndInReturn->7 #getAllNodesInCloneBlock->10 #containSwitchCase->3 #findSwitchCaseBefore->4 #findSwitchCaseAfter->5 #extractConditionalReturnStatements->5 #extractReturnStatementsAfterId->3 #conditionalReturnStatement->3 #branchStatementWithInnermostLoop->5 #switchCaseStatementWithInnermostSwitch->3 #checkIfStatementIsSuperConstructorInvocation->2 #checkIfStatementIsThisConstructorInvocation->2 #checkIfStatementContainsSuperMethodInvocation->5 #checkCloneStructureNodeForPreconditions->3 #checkPreconditions->48 #getDeclaredMethods->4 #getDeclaredFields->4 #isVariableWithTypeMismatchDifference->6 #findMethodsCalledFromType->11 #checkDifferenceForMethodArgumentPassing->19 #processNonMappedNode->15 #isTheOnlyUnmappedNodeInsideMappedTryBlock->3 #controlParentExaminesVariableUsedInNonMappedNode->18 #controlParentExaminesVariableUsedInDifferenceExpression->18 #controlParentExaminesVariableInCondition->12 #processNonMappedNodesMovableBeforeAndAfter->5 #examineIfNonMappedNodesUpdateTheSameVariable->15 #movableNonMappedNodeBeforeNonMappedNodesMovableAfter->9 #movableBeforeFirstMappedNode->1 #isFirstNonMappedNode->5 #movableNonMappedNodeBeforeFirstMappedNode->14 #isLastNonMappedNode->5 #movableNonMappedNodeAfterLastMappedNode->15 #isVoidMethodCall->5 #isMethodCallDifferenceCoveringEntireStatement->3 #isFieldUpdate->1 #isUpdated->6 #isField->7 #isParameterizableExpression->34 #expressionUsesVariableWhoseStateIsModifiedByPreviousStatements->6 #isAdvancedMatchNode->14 #isExpressionUnderStatement->3 #isExpressionWithinExpression->3 #getMethodBinding->5 #getCloneType->6 #isType3->10 #getCloneRefactoringType->1 #isTemplateMethodApplicable->10 #computeRefactoringType->22 #infeasibleRefactoring->3 #pullUpToCommonSuperclass->1 #superclassDirectlyInheritedFromRefactoredSubclasses->1 #superclassIsOneOfRefactoredSubclasses->2 #superclassInheritedOnlyByRefactoredSubclasses->3 #extractToUtilityClass->1 #cloneFragmentsDoNotAccessFieldsOrMethods->47 #extractSimpleNames->2 #extractSimpleNames->7 #extractMethodInvocations->2 #extractMethodInvocations->7 #extractThisExpressions->2 #extractThisExpressions->7 #allAccessedLocalMethodsHaveMatchingSignatures->5 #getReturnTypeBinding->3 #extractTypeBinding->1 #findReturnTypeBinding->20 #determineType->18 #extractReturnTypeBinding->7 #], 935, 0, 0
StatementCollector.java, 175, 0, 7, 1, 0, [getStatementList->1 #getControlStatementList->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->3 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #visit->1 #], 28, 1, 0
SubTreeMatchComparator.java, 13, 0, 5, 1, 0, [compare->1 #], 1, 0, 0
SwitchBodyDecomposer.java, 42, 0, 1, 1, 0, [getSwitchCaseNodeMap->1 #], 1, 0, 0
TopDownCDTMapper.java, 170, 1, 29, 1, 3, [processTopDown->7 #secondPhase->10 #getSolutions->1 #isSubsumedByCurrentSolutions->3 #getMaximumCompleteSubTreeMatches->8 #findTopDownMatches->8 #], 37, 0, 0
VariableBindingKeyPair.java, 45, 0, 8, 1, 0, [getKey1->1 #getKey2->1 #equals->3 #hashCode->1 #toString->1 #], 7, 0, 0
VariableBindingPair.java, 64, 0, 11, 2, 1, [getBinding1->1 #getBinding2->1 #hasQualifiedType->1 #getVariableBindingKeyPair->1 #equals->3 #hashCode->1 #toString->1 #], 9, 0, 0
MethodCallAnalyzer.java, 1172, 23, 153, 1, 4, [processArgumentsOfInternalMethodInvocation->62 #processArgumentOfInternalMethodInvocation->33 #processArgumentOfExternalMethodInvocation->12 #getArgumentPosition->4 #processInternalMethodInvocation->52 #processExternalMethodInvocation->41 #exactSubType->6 #getInvokedMethodDeclaration->7 #handleAlreadyAnalyzedMethod->8 #composeVariable->3 #extractTypeDeclarations->5 #extractAnonymousClassDeclarations->11 #equalType->18 #equalSignature->6 #equalSignatureIgnoringSubclassTypeDifferences->6 #getMatchingMethodDeclarationsForSubType->11 #isUnprocessedMethod->1 #], 286, 0, 0
PDG.java, 851, 5, 105, 11, 11, [getEntryNode->1 #getMethod->1 #getIFile->1 #getVariableDeclarationObjectsInMethod->1 #getVariableDeclarationsInMethod->2 #getFieldsAccessedInMethod->2 #isDirectlyNestedWithinBlockNode->3 #isNestedWithinBlockNode->3 #getNestedNodesWithinBlockNode->2 #getVariableDeclarationsAndAccessedFieldsInMethod->1 #getVariablesWithMethodBodyScope->5 #getAllDeclaredVariables->5 #getTotalNumberOfStatements->1 #getNodeIterator->1 #getDefinedAttributesOfReference->6 #getAssignmentNodesOfVariableCriterion->3 #getAssignmentNodesOfVariableCriterionIncludingDeclaration->3 #handleThrowExceptionNodes->10 #isControlDependent->4 #handleSwitchCaseNodes->14 #isDirectlyDependentOnSwitchNode->4 #handleJumpNodes->8 #getInnerMostLoopNodesForJumpNodes->8 #getLoopNodeUnderLabel->6 #getInnerMostLoopNode->5 #containsNodeWithID->3 #createControlDependenciesFromEntryNode->14 #findParentOfBlockNode->5 #processCFGNode->7 #processControlPredicate->5 #isNested->3 #performAliasAnalysis->1 #createDataDependencies->4 #createDataDependenciesFromEntryNode->5 #aliasSearch->6 #dataDependenceSearch->9 #antiDependenceSearch->7 #outputDependenceSearch->7 #getBasicBlocks->1 #forwardReachableBlocks->1 #directlyDominates->3 #dominatedBlocks->2 #dominatedBlocks->4 #boundaryBlocks->3 #blockBasedRegion->3 #getReturnedVariables->4 #getFirstDef->3 #getLastUse->3 #], 203, 1, 0
PDGAbstractDataDependence.java, 71, 0, 11, 1, 0, [getData->1 #getLoop->1 #isLoopCarried->2 #equals->5 #hashCode->3 #toString->2 #], 14, 2, 3
PDGAntiDependence.java, 10, 0, 0, 0, 0, [], 0, 3, 0
PDGBlockNode.java, 137, 0, 32, 2, 0, [getControlDependenceParent->3 #determineDefinedAndUsedVariables->29 #], 32, 2, 2
PDGControlDependence.java, 63, 0, 10, 1, 0, [isTrueControlDependence->2 #isFalseControlDependence->2 #sameLabel->1 #equals->3 #hashCode->2 #toString->2 #], 12, 2, 0
PDGControlPredicateNode.java, 129, 0, 29, 1, 0, [determineDefinedAndUsedVariables->29 #], 29, 2, 0
PDGDataDependence.java, 10, 0, 0, 0, 0, [], 0, 3, 0
PDGDependence.java, 22, 0, 3, 3, 0, [getSrc->1 #getDst->1 #getType->1 #], 3, 1, 2
PDGExitNode.java, 23, 0, 1, 1, 0, [getReturnedVariable->1 #], 1, 3, 0
PDGExpression.java, 199, 6, 52, 1, 1, [getDeclaredVariableIterator->1 #getDefinedVariableIterator->1 #getUsedVariableIterator->1 #definesLocalVariable->1 #usesLocalVariable->1 #throwsException->2 #determineDefinedAndUsedVariables->27 #processArgumentsOfInternalMethodInvocation->4 #processArgumentsOfInternalClassInstanceCreation->4 #], 42, 0, 0
PDGMethodEntryNode.java, 50, 0, 7, 2, 1, [getMethod->1 #getBasicBlock->1 #equals->3 #hashCode->1 #toString->1 #], 7, 2, 0
PDGNode.java, 619, 4, 100, 11, 3, [getDeclaredVariableIterator->1 #getDefinedVariableIterator->1 #getUsedVariableIterator->1 #getCFGNode->1 #getThrownExceptionTypes->1 #getDependenceIterator->1 #getOutgoingDependenceIterator->1 #getIncomingDependenceIterator->1 #getControlDependentNodes->3 #getTrueControlDependentNodes->4 #getControlDependenceParent->3 #isControlDependentOnNode->3 #isControlDependentOnOneOfTheNodes->3 #getIncomingControlDependence->3 #hasIncomingControlDependenceFromMethodEntryNode->4 #incomingDataDependencesFromNodesDeclaringOrDefiningVariables->6 #declaresLocalVariable->1 #definesLocalVariable->1 #usesLocalVariable->1 #instantiatesLocalVariable->7 #containsClassInstanceCreation->2 #throwsException->2 #getBasicBlock->1 #getStatement->1 #getASTStatement->1 #equals->3 #hashCode->1 #toString->1 #compareTo->3 #getAnnotation->1 #processArgumentsOfInternalMethodInvocation->4 #processArgumentsOfInternalClassInstanceCreation->4 #updateReachingAliasSet->13 #processAssignment->17 #applyReachingAliasSet->11 #getClassInstantiations->13 #changesStateOfVariable->4 #changesStateOfReference->4 #accessesReference->4 #assignsReference->14 #], 151, 1, 4
PDGObjectSliceUnion.java, 563, 2, 65, 6, 1, [isNestedInside->4 #getThrowStatementNodesWithinRegion->3 #getVariableDeclarationsAndAccessedFieldsInMethod->1 #getMethod->1 #getIFile->1 #getMethodSize->1 #getBoundaryBlock->1 #getExtractedMethodInvocationInsertionNode->1 #getObjectReference->1 #getSliceNodes->1 #getPassedParameters->1 #getRemovableNodes->1 #getDeclarationOfObjectReference->3 #declarationOfObjectReferenceBelongsToSliceNodes->3 #declarationOfObjectReferenceBelongsToRemovableNodes->3 #sliceContainsDeclaration->3 #allNodeCriteriaAreDuplicated->3 #returnStatementIsControlDependentOnSliceNode->5 #isControlDependentOnSliceNode->4 #nonDuplicatedSliceNodeAntiDependsOnNonRemovableNode->6 #nodeDependsOnNonRemovableNode->5 #nonDuplicatedSliceNodeOutputDependsOnNonRemovableNode->6 #duplicatedSliceNodeWithClassInstantiationHasDependenceOnRemovableNode->8 #containsDuplicateNodeWithStateChangingMethodInvocation->7 #objectSliceEqualsMethodBody->4 #objectSliceHasMinimumSize->4 #objectReferenceIsReturnedVariableInOriginalMethod->2 #declarationOfObjectReferenceIsDuplicated->3 #sliceContainsReturnStatement->3 #sliceContainsBranchStatementWithoutInnermostLoop->6 #complyWithUserThresholds->5 #variableCriterionIsStreamClosedInFinallyBlock->5 #sliceContainsVariableDeclarationClosedInFinallyBlock->6 #satisfiesRules->2 #], 113, 0, 0
PDGObjectSliceUnionCollection.java, 59, 0, 2, 1, 1, [getSliceUnions->1 #], 1, 0, 0
PDGOutputDependence.java, 10, 0, 0, 0, 0, [], 0, 3, 0
